@relation moves

@attribute enemies_less_hp {true, false}
@attribute valid_attack_position {true, false}
@attribute healthiest_hittable {true, false}
@attribute unhealthiest_hittable {true, false}
@attribute warrior_in_range {true, false}
@attribute ranger_in_range {true, false}
@attribute mage_in_range {true, false}
@attribute priest_in_range {true, false}
@attribute warrior_status {true, false}
@attribute ranger_status {true, false}
@attribute mage_status {true, false}
@attribute priest_status {true, false}
@attribute ATTACK {11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44,5,6}

@data
false, true, true, false, true, true, false, false, false, true, false, false, 12
true, true, true, true, true, true, false, false, false, false, false, false, 22
false, false, true, true, true, true, false, false, false, false, false, true, 6 
true, true, false, true, false, false, true, true, false, false, false, false, 24
false, false, false, true, false, false, true, false, false, false, false, false, 5 
false, false, false, true, false, false, true, false, false, false, false, false, 6 
false, false, false, true, false, false, true, false, false, false, false, false, 6 
true, false, false, true, false, false, true, false, false, false, false, false, 6 
false, false, true, true, true, false, false, false, true, false, false, false, 6 
false, true, true, true, true, false, false, false, true, false, false, false, 11
false, false, false, true, false, false, true, true, false, false, true, false, 6 
false, false, false, true, false, false, true, true, false, false, true, false, 6 
false, false, false, true, false, false, true, false, false, false, false, false, 6 
false, false, true, true, true, false, false, true, false, false, false, true, 6 
false, false, true, false, true, false, false, false, false, false, false, false, 6 
false, true, true, true, true, true, false, false, false, false, false, false, 41
true, false, true, false, true, false, false, false, false, false, false, false, 6 
false, true, true, false, true, false, false, false, false, false, false, false, 41
true, false, true, false, true, false, false, false, false, false, false, false, 6 
false, true, false, true, false, true, false, false, false, false, false, false, 12
true, false, true, false, true, false, false, false, false, false, false, false, 6 
true, true, true, false, true, false, false, false, false, false, false, false, 41
false, false, true, true, true, false, false, false, false, false, false, false, 6 
true, true, false, false, false, false, false, false, false, false, false, false, 6 
false, false, true, true, true, false, false, false, false, false, false, false, 6 
true, true, true, false, true, false, false, false, false, false, false, false, 41
false, true, true, true, true, false, false, false, false, false, false, false, 21
false, false, false, true, false, false, true, true, false, false, true, false, 6
false, false, false, true, false, false, true, true, false, false, true, false, 6
true, false, false, true, false, false, true, true, false, false, true, false, 6
false, false, true, true, true, false, false, true, false, false, false, false, 6
false, true, true, false, true, false, false, true, false, false, false, false, 41
true, false, true, true, true, false, false, true, false, false, false, true, 6
false, true, false, true, false, false, false, true, false, false, false, false, 14
true, false, true, false, true, false, false, false, false, false, false, false, 6
false, true, true, false, true, false, false, false, false, false, false, false, 41
true, false, true, false, true, false, false, false, false, false, false, false, 6
false, true, false, false, false, false, false, false, false, false, false, false, 6
false, false, false, true, false, true, false, true, false, true, false, false, 6
true, false, false, true, false, false, true, true, false, false, true, false, 6
false, false, false, true, false, true, false, false, false, false, false, false, 6
true, false, true, false, true, false, false, false, false, false, true, false, 6
false, true, false, false, false, false, false, false, true, false, false, false, 6
false, true, false, false, false, false, false, false, false, false, false, false, 5
true, false, false, true, true, false, false, false, true, false, false, false, 6
false, true, true, true, true, false, false, false, false, false, false, false, 41
true, false, false, true, true, false, false, false, true, false, false, false, 6
false, true, false, false, false, false, false, false, false, false, false, false, 6
false, false, false, false, false, false, true, true, false, true, false, false, 6
true, false, false, false, false, false, true, true, false, true, false, false, 6
false, false, false, true, false, false, true, true, false, false, false, true, 6
true, false, false, true, false, true, true, false, false, false, false, false, 6
false, false, false, true, false, false, true, false, true, false, true, false, 6
true, false, true, false, true, false, false, false, false, false, false, false, 6
false, true, true, false, true, false, false, false, true, false, true, false, 41
true, false, false, true, false, false, true, true, false, false, false, false, 6
false, false, true, true, true, false, false, false, true, false, false, false, 6
false, true, false, false, false, false, false, false, true, false, false, false, 6
true, false, false, false, false, false, true, true, false, true, false, false, 6
false, false, false, false, false, false, true, true, false, true, false, false, 6
true, false, false, true, false, false, true, true, false, false, false, false, 6
false, false, false, false, false, false, true, false, false, false, false, true, 6
true, false, true, true, true, false, false, true, false, false, false, false, 6
false, true, true, true, true, false, false, false, true, false, false, false, 41
true, false, true, true, true, false, false, true, false, false, false, false, 6
false, false, false, true, false, false, true, true, false, true, false, false, 6
true, false, false, true, false, false, true, true, false, true, false, false, 6
false, false, false, false, false, false, false, true, false, false, false, false, 6
true, false, true, false, true, false, false, true, false, false, false, true, 6
true, true, false, true, false, true, false, false, false, false, false, false, 12
true, false, true, false, true, false, false, true, false, false, true, true, 6
false, true, false, true, false, false, false, true, true, false, false, false, 14
true, false, true, false, true, false, false, true, false, false, false, true, 6
false, true, true, true, true, false, false, false, true, false, false, false, 41
true, false, true, false, true, false, false, true, false, false, false, false, 6
false, true, false, false, false, false, false, false, true, false, false, false, 6
false, true, false, false, false, false, false, false, true, false, false, false, 5
true, false, true, false, true, false, false, true, false, false, false, false, 6
false, true, true, false, true, true, false, false, false, false, true, true, 11
